id,loss
4,1211.5174097530698
6,2232.5120656388362
9,11144.365989956537
12,5650.071611784707
15,324.3292591546833
17,2224.8486825755335
21,2564.5127682422467
28,75.97727677056173
32,2362.483724718542
43,3522.9967605683673
46,3836.3994449301535
50,1185.2216307886358
54,1991.2824458939917
62,3289.6379433670036
70,3350.2114407770046
71,6846.869511387069
75,2317.971741496844
77,2817.6533318557867
81,2973.299533130292
83,2685.0685230591425
87,2369.5262795931826
97,2155.0673398239014
103,2116.070797049466
119,1369.6088873466992
120,2084.9429757577313
127,2174.3723921043293
138,3913.431360846318
141,3621.5606639417165
148,1017.045758740865
150,2749.663001177238
151,2533.9159504381096
158,1853.3625232703998
160,7622.613076097085
165,3487.878368334544
168,3921.1179006957072
169,4474.063428620633
177,3345.953529464156
178,4469.863508269201
184,1966.14024022711
194,7131.781725022317
198,2073.3216439685466
203,5867.573413050533
211,2646.1277069972034
217,1040.3549176539213
219,1037.5589325727724
221,4787.4268935675445
227,2315.8000578252345
230,749.7630217118412
235,2118.9699223845846
240,1209.9005812044202
243,3977.0470718705906
249,6461.612770158166
253,2512.840540101909
258,943.4860580002514
261,1601.9309028066348
263,3622.157760447465
264,3946.0215683094366
265,6060.126680032628
268,1695.2821274008884
271,1102.8707963886184
274,6346.2056319364665
275,511.8243947439014
279,2920.4892045900674
282,1555.407663318465
286,2826.9807507102405
288,1179.678671426826
294,3976.8270318815657
296,854.432327935142
297,1723.3584299908111
300,247.06932836869964
303,8497.578369002016
314,698.4707251823615
315,5119.743520476708
321,2675.9158389078925
323,5402.43186516614
330,4964.5555386600245
341,1690.5986328920314
342,5494.312529101255
352,1955.4953878172582
353,4434.965160124692
360,7291.468729039011
361,2386.8939698267577
362,3537.9389667711366
366,1117.4290621479904
372,4057.1089066830123
376,4472.836475851962
377,2651.0302678065946
379,1137.9138664670081
380,4510.665011275771
387,1254.605795766068
392,1468.3061914733921
394,10323.42510238486
395,2673.3251488632236
397,1444.9330611453565
407,5195.226124590829
411,7455.9224160648655
416,3704.241651097887
417,2179.352985895935
419,4278.732086064546
428,5572.189568019596
431,1905.6790170813142
436,6686.5288270956635
438,2130.93546607373
445,6316.060922047316
446,6658.799441851817
455,1329.2105857352665
456,909.5484216392524
461,609.6512006553912
463,1789.0219681231897
464,4589.553148511131
466,2140.293155559324
467,2854.805985729038
470,2013.7178893738937
475,1470.8639191994152
482,4736.536736725897
490,3232.9396357026462
496,2889.652679112284
497,6120.374192950814
508,3416.474084505847
510,3191.5291144587054
512,3845.7358854819977
513,3793.8083686268596
523,2416.489693430034
531,5871.766956112186
532,3399.2387486236785
533,1735.7494359020254
537,753.5719388164425
544,5251.238366317553
547,3564.5271363541488
