id,loss
4,2241.928
6,2631.08
9,5060.6895
12,6718.291
15,1534.7905
17,2119.3335
21,1962.0043
28,1781.4806
32,2875.082
43,4106.5127
46,1796.1136
50,1618.0505
54,1785.2598
62,2636.7927
70,1804.652
71,4976.6187
75,2013.6025
77,4628.148
81,2048.834
83,3861.1091
87,1725.142
97,3312.5579
103,2110.1624
119,1672.8735
120,1886.6659
127,1777.6592
138,4788.9233
141,2368.0498
148,1593.941
150,2110.173
151,2194.7556
158,2123.8213
160,7420.925
165,2663.7676
168,3869.0378
169,2832.4177
177,3032.479
178,3708.295
184,1771.5238
194,6225.618
198,2491.4026
203,7118.8467
211,1796.6267
217,1873.6642
219,1988.4005
221,3171.063
227,3339.7683
230,2319.9797
235,1876.1826
240,1652.3268
243,2339.0574
249,5971.2383
253,2910.0403
258,1796.974
261,2766.738
263,3367.8772
264,2114.1807
265,7496.097
268,2373.7737
271,2242.629
274,8011.647
275,1397.1566
279,2050.6406
282,2351.7336
286,2607.4443
288,2295.219
294,2353.4236
296,1557.302
297,2378.9036
300,1512.2712
303,8916.86
314,2361.1558
315,5504.7363
321,2988.776
323,6825.5186
330,6173.1807
341,2820.4543
342,4778.476
352,2097.2126
353,6361.9355
360,6036.3184
361,1856.2778
362,4238.4434
366,1692.3503
372,4770.5576
376,3325.131
377,2718.037
379,1552.2333
380,3692.2437
387,1672.7992
392,1781.576
394,6449.6396
395,1876.5988
397,2567.0564
407,3877.7715
411,5910.5454
416,2620.0674
417,1565.8523
419,2331.766
428,6291.76
431,2172.1375
436,6161.8086
438,1813.1414
445,6976.979
446,4027.6135
455,1425.9854
456,1722.5057
461,1870.5215
463,2285.9897
464,3651.0
466,3442.8376
467,2468.5435
470,1788.3168
475,2158.3086
482,2341.2952
490,4670.3486
496,2107.7021
497,6987.6245
508,3634.678
510,2123.201
512,4863.1523
513,3635.384
523,2337.0544
531,6394.315
532,1866.7452
533,1804.1691
537,1627.2129
544,4535.1987
547,4092.7483
556,8310.351
565,1858.0906
566,1773.758
571,1796.0034
573,2640.414
574,1552.2333
581,2981.846
585,1827.5605
589,3446.9863
597,2232.526
601,2909.3198
602,1667.1613
613,1797.8171
616,1697.9022
619,2257.9846
622,3326.1812
623,3182.3635
629,1885.3054
634,2380.478
638,1455.6583
642,1519.6646
643,2705.8518
645,1731.1475
648,6682.744
652,2338.8857
664,1568.5417
666,3015.6423
672,1532.9594
676,1632.4337
678,3291.741
682,2158.628
686,3127.558
688,2707.0645
689,2276.1165
690,2829.7246
692,6823.9062
695,2160.0215
697,3695.7917
698,2533.613
706,2313.2
708,1956.8844
712,6217.2144
715,3612.3076
717,1750.1488
725,3302.7607
729,1513.352
737,1889.7688
739,3350.3037
747,3509.711
753,2251.7866
758,2494.2034
759,2671.2563
763,2650.0808
773,5005.149
774,2311.7954
776,3009.3174
788,4419.362
790,3023.1218
794,2024.8116
801,3222.5867
802,1982.082
805,2146.6704
809,6512.207
812,1962.5927
825,2213.8325
828,2624.375
830,3248.2395
833,1706.7594
850,4254.4414
852,6759.798
862,1924.9535
863,2011.638
864,1915.0308
865,3207.3213
868,6971.8643
872,1906.4257
879,6854.871
880,2375.4482
883,1983.8317
886,1743.8489
923,2778.736
924,1757.5598
932,2070.2688
945,4904.2183
947,6994.904
948,2217.0254
955,2734.371
963,4252.9673
979,2317.453
989,2049.5876
994,2554.9817
995,1647.4447
998,2179.5847
1000,5440.7876
1018,2382.9058
1019,3897.641
1028,2122.311
1034,1715.8649
1038,1744.0242
1040,2129.7935
1042,1683.9886
1057,7202.294
1058,1621.1748
1063,1559.079
1066,3147.6772
1071,3526.8652
1073,3704.4802
1074,2378.4746
1077,4524.6436
1080,8617.018
1088,1862.0741
1096,1718.5626
1097,7665.3574
1105,6549.3857
1115,2309.5603
1116,2269.6885
1122,2296.2761
1130,3443.201
1133,2123.6917
1137,3301.742
1140,2365.7983
1143,7814.227
1149,8016.4097
1150,1513.352
1153,1883.2224
1157,2000.5266
1180,1546.0615
1183,1974.9728
1188,2680.3748
1193,1696.5479
1200,1551.6766
1209,3043.883
1214,2325.0032
1219,3083.9304
1223,6983.505
1227,1711.7548
1228,2322.3884
1229,2637.4695
1233,2307.173
1238,3055.2012
1239,2715.1062
1241,2896.1707
1243,2733.6458
1244,1734.581
1245,5085.2476
1277,3813.4905
1279,4853.2075
1292,6834.1646
1293,2443.8684
1299,6558.4927
1304,3633.0767
1313,3787.4778
1328,3509.9185
1330,2363.5757
1334,1960.2633
1335,1809.9291
1336,2787.3599
1341,2073.3606
1344,1974.5839
1351,2271.9824
1352,2172.8552
1354,1660.8628
1368,8011.346
1373,1648.2814
1375,1513.352
1381,2495.2703
1384,2010.0319
1385,3303.793
1388,8671.119
1401,2818.157
1402,2555.1357
1404,2099.2024
1406,1867.319
1409,1619.7926
1422,1846.7032
1429,4527.654
1433,5189.432
1438,1715.2959
1444,2137.8816
1446,1708.2808
1450,1926.3854
1451,1705.0905
1454,1968.0605
1458,2821.8938
1461,2887.221
1464,5583.32
1465,2391.8098
1478,2160.0186
1479,2050.6248
1480,3269.9329
1484,2083.6648
1486,1711.7548
1488,1652.3268
1489,2731.5728
1491,1666.5691
1507,2144.6304
1515,2041.7799
1519,1797.5798
1528,2491.7437
1529,1748.6807
1530,3246.4985
1532,1843.6965
1541,1959.3807
1542,4068.5852
1547,1866.1937
1549,1754.9652
1553,2213.8088
1554,2493.1943
1555,2480.666
1559,2229.335
1565,1914.933
1568,1718.5747
1576,2732.9314
1579,1522.3597
1592,2178.172
1596,4048.8872
1605,1556.3657
1607,1918.9857
1612,1556.89
1617,2148.825
1619,1941.4734
1620,7552.0757
1624,1931.2092
1627,1681.3853
1633,2314.0396
1636,1652.9741
1639,1896.2805
1640,3682.3047
1644,1732.6647
1646,3128.5457
1647,2787.3772
1654,1881.3098
1655,3671.8628
1664,6717.3335
1665,2164.7812
1667,4286.809
1669,1861.3915
1678,2158.2422
1682,2798.2026
1689,1670.5093
1690,3136.2222
1693,5703.4224
1695,1552.3553
1705,4208.6104
1706,2240.9727
1708,3316.5154
1716,2328.8535
1720,8157.7964
1722,1901.9158
1749,6620.8545
1750,3006.174
1751,6514.7886
1760,1663.7129
1763,2638.0757
1770,2304.9143
1777,2740.489
1785,4475.3745
1791,1725.4915
1794,6476.728
1800,2143.8113
1816,1610.1282
1817,2151.2322
1821,2980.917
1836,1727.7874
1838,1963.6013
1851,3299.1963
1852,6617.592
1854,2156.5413
1856,1546.0615
1865,1663.0063
1872,1707.6337
1878,2102.6926
1880,2088.897
1881,1600.8087
1882,1754.9042
1886,1699.8993
1892,2962.2366
1894,3198.4402
1898,3265.5942
1899,3048.8044
1902,2002.3636
1903,5345.366
1906,4364.546
1910,4453.6577
1911,2279.4985
1914,3112.8047
1929,4398.023
1932,1881.8481
1952,1513.352
1959,1818.6696
1960,1604.3262
1976,4320.6724
1980,3627.7532
1981,1900.5695
1987,2349.2407
1994,2159.7087
2000,1727.7874
2008,3542.2861
2011,4155.871
2012,7680.047
2019,2671.9795
2022,4504.748
2024,4873.912
2028,1781.4806
